Country Group,ISO,indicator code,Country,Subject Descriptor,Units,Scale,notes,2019,2020,2021,2022,FY
Emerging Latin America,TTO,NID_NGDP,Trinidad and Tobago,Total investment,Percent of GDP,,,0,0,0,0,
Emerging Africa ,KEN,PCPIPCH,Kenya,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",5,5,6,8,2022.0
Emerging Africa ,MOZ,PCPIPCH,Mozambique,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3,3,6,10,2022.0
Emerging Africa ,UGA,PCPIPCH,Uganda,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,3,2,7,2022.0
Emerging Latin America,PER,PCPIPCH,Peru,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,2,4,8,2022.0
Emerging Asia,BGD,PCPIPCH,Bangladesh,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",5,6,6,6,2022.0
Emerging Asia,KIR,NID_NGDP,Kiribati,Total investment,Percent of GDP,,,0,0,0,0,
Emerging Asia,WSM,NID_NGDP,Samoa,Total investment,Percent of GDP,,,0,0,0,0,
Emerging Middle East,IRQ,NID_NGDP,Iraq,Total investment,Percent of GDP,,,0,0,0,0,
Emerging Middle East,SOM,NID_NGDP,Somalia,Total investment,Percent of GDP,,,0,0,0,0,
Emerging Asia,LAO,NID_NGDP,Lao P.D.R.,Total investment,Percent of GDP,,,0,0,0,0,
Emerging Asia,PNG,NID_NGDP,Papua New Guinea,Total investment,Percent of GDP,,,0,0,0,0,
Emerging Asia,TON,NID_NGDP,Tonga,Total investment,Percent of GDP,,,0,0,0,0,
Emerging Africa ,AGO,NGDPPC,Angola,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",953015,988408,1370007,1589900,2021.0
Emerging Africa ,AGO,NGDPDPC,Angola,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2612,1709,2170,3438,2021.0
Emerging Africa ,AGO,PPPEX,Angola,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",139,155,210,229,2022.0
Emerging Africa ,AGO,NID_NGDP,Angola,Total investment,Percent of GDP,,"Source: National Statistics Office. Ministry of Planning Latest actual data: 2022. Starting from the year 2002, historical National Accounts data are provided by Angola's National Institute of Statistics (INE). Data for prior years are based on different sources and/or estimated by IMF staff, including using a ratio slicing method in order to avoid breaks in the data. Notes: Starting from the year 2002, the composition of aggregate demand was revised taking into account updated information from the authorities' National Accounts statistics. Data for prior years are based on [old information] and/or estimated by IMF staff, including using a ratio slicing method in order to avoid breaks in the data. National accounts manual used: European System of Accounts (ESA) 1995 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2002 Chain-weighted: No Primary domestic currency: Angolan kwanza Data last updated: 09/2023",21,25,25,24,2022.0
Emerging Africa ,AGO,PCPIPCH,Angola,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",17,22,26,21,2022.0
Emerging Asia,TUV,NID_NGDP,Tuvalu,Total investment,Percent of GDP,,,0,0,0,0,
Emerging Africa ,AGO,LP,Angola,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2021 Primary domestic currency: Angolan kwanza Data last updated: 09/2023,32,33,35,36,2021.0
Emerging Africa ,BEN,NGDPPC,Benin,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",686082,712546,753980,811252,2021.0
Emerging Africa ,BEN,NGDPDPC,Benin,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1171,1240,1360,1303,2021.0
Emerging Africa ,BEN,PPPEX,Benin,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",209,212,206,200,2022.0
Emerging Africa ,BEN,NID_NGDP,Benin,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2023,26,26,29,37,2022.0
Emerging Africa ,BEN,PCPIPCH,Benin,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",-1,3,2,1,2022.0
Emerging Africa ,BEN,LP,Benin,Population,Persons,Millions,Source: International Financial Institution Latest actual data: 2021 Primary domestic currency: CFA franc Data last updated: 08/2023,12,13,13,13,2021.0
Emerging Africa ,BWA,NGDPPC,Botswana,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",71840,67170,80258,95706,2020.0
Emerging Africa ,BWA,NGDPDPC,Botswana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",6679,5863,7239,7738,2020.0
Emerging Africa ,BWA,PPPEX,Botswana,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",5,5,5,5,2021.0
Emerging Africa ,BWA,NID_NGDP,Botswana,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008. The authority just updated and rebased their Nas using 2008 SNA from 2014 onwards. Before that, data are still based on 1993 SNA GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Botswana pula Data last updated: 09/2023",31,33,27,25,2021.0
Emerging Africa ,BWA,PCPIPCH,Botswana,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3,2,7,12,2022.0
Emerging Africa ,BWA,LP,Botswana,Population,Persons,Millions,Source: International Financial Institution. World Development Indicators Latest actual data: 2020 Primary domestic currency: Botswana pula Data last updated: 09/2023,3,3,3,3,2020.0
Emerging Africa ,BFA,NGDPPC,Burkina Faso,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",452437,479221,494260,517643,2020.0
Emerging Africa ,BFA,NGDPDPC,Burkina Faso,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",772,834,892,832,2020.0
Emerging Africa ,BFA,PPPEX,Burkina Faso,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",205,216,205,203,2021.0
Emerging Africa ,BFA,NID_NGDP,Burkina Faso,Total investment,Percent of GDP,,Source: National Statistics Office. The ministry of economy also provides estimates Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2023,26,23,25,15,2021.0
Emerging Africa ,BFA,PCPIPCH,Burkina Faso,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",-3,2,4,14,2022.0
Emerging Africa ,BFA,LP,Burkina Faso,Population,Persons,Millions,Source: International Financial Institution Latest actual data: 2020 Primary domestic currency: CFA franc Data last updated: 09/2023,21,22,22,23,2020.0
