Country Group,Country,ISO,indicator code,Subject Descriptor,Units,Scale,2019,2020,2021,2022,FY,latitude,longitude
Emerging Africa ,Kenya,KEN,PCPIPCH,"Inflation, average consumer prices",Percent change,,5,5,6,8,2022.0,-0.023559,37.906193
Emerging Africa ,Kenya,KEN,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,215078,219563,241778,263988,2019.0,-0.023559,37.906193
Emerging Africa ,Kenya,KEN,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,2108,2068,2209,2245,2019.0,-0.023559,37.906193
Emerging Africa ,Kenya,KEN,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,42,43,43,43,2022.0,-0.023559,37.906193
Emerging Africa ,Kenya,KEN,NID_NGDP,Total investment,Percent of GDP,,19,20,20,19,2022.0,-0.023559,37.906193
Emerging Africa ,Kenya,KEN,LP,Population,Persons,Millions,48,49,50,51,2019.0,-0.023559,37.906193
Emerging Africa ,Mozambique,MOZ,PCPIPCH,"Inflation, average consumer prices",Percent change,,3,3,6,10,2022.0,-18.665695,35.529562
Emerging Africa ,Mozambique,MOZ,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,31785,31541,32831,37100,2015.0,-18.665695,35.529562
Emerging Africa ,Mozambique,MOZ,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,508,454,502,581,2015.0,-18.665695,35.529562
Emerging Africa ,Mozambique,MOZ,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,24,24,24,25,2022.0,-18.665695,35.529562
Emerging Africa ,Mozambique,MOZ,NID_NGDP,Total investment,Percent of GDP,,60,51,34,51,2022.0,-18.665695,35.529562
Emerging Africa ,Mozambique,MOZ,LP,Population,Persons,Millions,30,31,32,33,2015.0,-18.665695,35.529562
Emerging Africa ,Uganda,UGA,PCPIPCH,"Inflation, average consumer prices",Percent change,,2,3,2,7,2022.0,1.373333,32.290275
Emerging Africa ,Uganda,UGA,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,3517582,3427692,3605267,4070271,2021.0,1.373333,32.290275
Emerging Africa ,Uganda,UGA,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,952,920,1005,1103,2021.0,1.373333,32.290275
Emerging Africa ,Uganda,UGA,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,1318,1328,1302,1330,2022.0,1.373333,32.290275
Emerging Africa ,Uganda,UGA,NID_NGDP,Total investment,Percent of GDP,,26,28,27,27,2022.0,1.373333,32.290275
Emerging Africa ,Uganda,UGA,LP,Population,Persons,Millions,40,41,42,44,2021.0,1.373333,32.290275
Emerging Africa ,Angola,AGO,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,953015,988408,1370007,1589900,2021.0,-11.202692,17.873887
Emerging Africa ,Angola,AGO,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,2612,1709,2170,3438,2021.0,-11.202692,17.873887
Emerging Africa ,Angola,AGO,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,139,155,210,229,2022.0,-11.202692,17.873887
Emerging Africa ,Angola,AGO,NID_NGDP,Total investment,Percent of GDP,,21,25,25,24,2022.0,-11.202692,17.873887
Emerging Africa ,Angola,AGO,PCPIPCH,"Inflation, average consumer prices",Percent change,,17,22,26,21,2022.0,-11.202692,17.873887
Emerging Africa ,Angola,AGO,LP,Population,Persons,Millions,32,33,35,36,2021.0,-11.202692,17.873887
Emerging Africa ,Benin,BEN,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,686082,712546,753980,811252,2021.0,9.30769,2.315834
Emerging Africa ,Benin,BEN,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,1171,1240,1360,1303,2021.0,9.30769,2.315834
Emerging Africa ,Benin,BEN,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,209,212,206,200,2022.0,9.30769,2.315834
Emerging Africa ,Benin,BEN,NID_NGDP,Total investment,Percent of GDP,,26,26,29,37,2022.0,9.30769,2.315834
Emerging Africa ,Benin,BEN,PCPIPCH,"Inflation, average consumer prices",Percent change,,-1,3,2,1,2022.0,9.30769,2.315834
Emerging Africa ,Benin,BEN,LP,Population,Persons,Millions,12,13,13,13,2021.0,9.30769,2.315834
Emerging Africa ,Botswana,BWA,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,71840,67170,80258,95706,2020.0,-22.328474,24.684866
Emerging Africa ,Botswana,BWA,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,6679,5863,7239,7738,2020.0,-22.328474,24.684866
