Country Group,Country,indicator code,ISO,Subject Descriptor,Units,Scale,notes,2019,2020,2021,2022,FY,latitude,longitude
Emerging Latin America,Trinidad and Tobago,NID_NGDP,TTO,Total investment,Percent of GDP,,,0,0,0,0,,10.691803,-61.222503
Emerging Latin America,Trinidad and Tobago,NGDP,TTO,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2022 Notes: Trinidad and Tobago's growth estimates for 2022 are preliminary data subject to further revisions by the authorities. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No Primary domestic currency: Trinidad and Tobago dollar Data last updated: 09/2023,156,136,162,203,2022.0,10.691803,-61.222503
Emerging Latin America,Trinidad and Tobago,NGDPD,TTO,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",23,20,24,30,2022.0,10.691803,-61.222503
Emerging Latin America,Trinidad and Tobago,PPPEX,TTO,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",4,4,4,5,2022.0,10.691803,-61.222503
Emerging Latin America,Trinidad and Tobago,PCPIPCH,TTO,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,1,2,6,2022.0,10.691803,-61.222503
Emerging Latin America,Trinidad and Tobago,LP,TTO,Population,Persons,Millions,Source: International Financial Institution Latest actual data: 2021 Primary domestic currency: Trinidad and Tobago dollar Data last updated: 09/2023,1,1,1,1,2021.0,10.691803,-61.222503
Emerging Africa ,Kenya,PCPIPCH,KEN,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",5,5,6,8,2022.0,-0.023559,37.906193
Emerging Africa ,Kenya,NGDPPC,KEN,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",215078,219563,241778,263988,2019.0,-0.023559,37.906193
Emerging Africa ,Kenya,NGDPDPC,KEN,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2108,2068,2209,2245,2019.0,-0.023559,37.906193
Emerging Africa ,Kenya,PPPEX,KEN,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",42,43,43,43,2022.0,-0.023559,37.906193
Emerging Africa ,Kenya,NID_NGDP,KEN,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Kenyan shilling Data last updated: 09/2023,19,20,20,19,2022.0,-0.023559,37.906193
Emerging Africa ,Kenya,LP,KEN,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2019 Notes: National Statistical Office. Series from January 1998 to October 2005 was adjusted in line with methodology reported in the 2011 Article IV Staff Report Primary domestic currency: Kenyan shilling Data last updated: 09/2023,48,49,50,51,2019.0,-0.023559,37.906193
Emerging Africa ,Mozambique,PCPIPCH,MOZ,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3,3,6,10,2022.0,-18.665695,35.529562
Emerging Africa ,Mozambique,NGDPPC,MOZ,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",31785,31541,32831,37100,2015.0,-18.665695,35.529562
Emerging Africa ,Mozambique,NGDPDPC,MOZ,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",508,454,502,581,2015.0,-18.665695,35.529562
Emerging Africa ,Mozambique,PPPEX,MOZ,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",24,24,24,25,2022.0,-18.665695,35.529562
Emerging Africa ,Mozambique,NID_NGDP,MOZ,Total investment,Percent of GDP,,Source: National Statistics Office. Instituto Nacional de Estadistica (INE). Latest actual data: 2022 Notes: Data prior to 1992 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Mozambican metical Data last updated: 09/2023,60,51,34,51,2022.0,-18.665695,35.529562
Emerging Africa ,Mozambique,LP,MOZ,Population,Persons,Millions,Source: International Financial Institution. Human Development Indicators. Latest actual data: 2015 Notes: Data prior to 1992 cannot be confirmed by national sources at this time. Primary domestic currency: Mozambican metical Data last updated: 09/2023,30,31,32,33,2015.0,-18.665695,35.529562
Emerging Africa ,Uganda,PCPIPCH,UGA,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,3,2,7,2022.0,1.373333,32.290275
Emerging Africa ,Uganda,NGDPPC,UGA,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3517582,3427692,3605267,4070271,2021.0,1.373333,32.290275
Emerging Africa ,Uganda,NGDPDPC,UGA,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",952,920,1005,1103,2021.0,1.373333,32.290275
Emerging Africa ,Uganda,PPPEX,UGA,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",1318,1328,1302,1330,2022.0,1.373333,32.290275
Emerging Africa ,Uganda,NID_NGDP,UGA,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022. Historical data are in CY, but projections are converted by averaging two FYs (i.e. Avg[FY(t-1/t),FY(t/t+1)]= CY(t)). For example, the projection of 2027 is the average of 2026/27 and 2027/28. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. Historical calendar year data are calculated by adding up quarterly data from Haver. For example, the calendar year 2018 GDP is the sum of 2018Q1, 2018Q2,2018Q3 and 2018Q4 GDP data. The GDP components(consumption, investment, exports and imports) are distributed proportionally based on the average share of two fiscal year GDP data. For example, CY2018 gross capital formation= CY2018 GDP *average(FY2017/18+FY 2018/19 gross capital formation)/average(FY2017/18+FY 2018/19 GDP). Start/end months of reporting year: January/December. Prior to 2009, the data are in fiscal year (FY) reporting basis converted to calendar year (CY) by averaging two FYs (e.g. CY2008 is the average of FY2007/08 and FY2008/09). Historical quarterly data are taken from Haver to have a smooth series. Base year: 2016. National Accounts were rebased on a FY basis and this rebasing was then applied to CY historical data. As a result real GDP and nominal GDP are not equal in CY 2016. Chain-weighted: No Primary domestic currency: Ugandan shilling Data last updated: 09/2023",26,28,27,27,2022.0,1.373333,32.290275
